"Title","Region","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL",
"Fire Bam","UN","Role-Playing,Action RPG","Fire Bam is a Role-Playing game, developed by HAL Labs and published by Hal,which was released in Japan in 1988.","n/a","8.0","n/a","HAL Labs","Feb1, 1988 ","http://www.gamefaqs.com/famicomds/578554-fire-bam"
"Fire Rock","UN","Action,Platformer,2D","Fire Rock is an Action game, developed by System Sacom and published by Use,which was released in Japan in 1988.","n/a","n/a","n/a","System Sacom","Jun 20, 1988 ","http://www.gamefaqs.com/famicomds/578598-fire-rock"
"Fuuun Shaolin Kyo","UN","Action,General","Fuuun Shaolin Kyo is an Action game, developed by TOSE and published by Jaleco Entertainment,which was released in Japan in 1987.","n/a","n/a","n/a","TOSE","Apr 17, 1987 ","http://www.gamefaqs.com/famicomds/578407-fuuun-shaolin-kyo"
"Fuuun Shaolin Kyo:Ankoku no Maou","UN","Action,General","Fuuun Shaolin Kyo:Ankoku no Maou is an Action game, developed by TOSE and published by Jaleco Entertainment,which was released in Japan in 1988.","n/a","7.0","n/a","TOSE","Apr 22, 1988 ","http://www.gamefaqs.com/famicomds/578582-fuuun-shaolin-kyo-ankoku-no-maou"
"Galaga","UN","Action,Shooter,Static","Take control of a fighter space craft and shoot down the invading aliens. Watch out for the swooping motherships, which will try to steal your fighter. Rescue captured fighters to double your firepower. Earn Perfect Bonuses as you battle your way through wave after wave in different challenging stages.","n/a","7.0","n/a","Namco","Jun 22, 1990 ","http://www.gamefaqs.com/famicomds/922357-galaga"
"Galaxian","UN","Action,Shooter,Static","The Galaxian Fleet has invaded and it's up to you to stop them. There's two-way action in this game; as you fire at them, they're firing back at you! All that is required of you is quick reflexes and an accurate aim. Can you destroy the Galaxian Fleet before they destroy you?","n/a","7.0","n/a","Namco","Jul 20, 1990 ","http://www.gamefaqs.com/famicomds/922358-galaxian"
"Gall Force: Eternal Story","UN","Action,Shooter,Scrolling","Gall Force: Eternal Story is an Action game, developed and published by Hal,which was released in Japan in 1986.","n/a","8.0","n/a","Hal","Dec 10, 1986 ","http://www.gamefaqs.com/famicomds/578354-gall-force-eternal-story"
"Ginga Denshou","UN","Role-Playing,Action RPG","Ginga Denshou is a Role-Playing game, developed by Wave Jack and published by Imagineer,which was released in Japan in 1986.","n/a","7.3","n/a","Wave Jack","Nov6, 1986 ","http://www.gamefaqs.com/famicomds/578331-ginga-denshou"
"Ginga Denshou: Galaxy Odyssey","JP","Role-Playing,Action RPG","Ginga Denshou is a Role-Playing game, developed by Wave Jack and published by Imagineer,which was released in Japan in 1986.","n/a","7.3","n/a","Wave Jack","Nov6, 1986 ","http://www.gamefaqs.com/famicomds/578331-ginga-denshou"
"Ginga Denshou","UN","Role-Playing,Action RPG","Ginga Denshou is a Role-Playing game, developed by Wave Jack and published by Imagineer,which was released in Japan in 1986.","n/a","7.3","n/a","Wave Jack","Nov6, 1986 ","http://www.gamefaqs.com/famicomds/578331-ginga-denshou"
"Ginga Denshou: Galaxy Odyssey","JP","Role-Playing,Action RPG","Ginga Denshou is a Role-Playing game, developed by Wave Jack and published by Imagineer,which was released in Japan in 1986.","n/a","7.3","n/a","Wave Jack","Nov6, 1986 ","http://www.gamefaqs.com/famicomds/578331-ginga-denshou"
"Gokuraku Yuugi: Game Tengoku","UN","Miscellaneous,Board Games","Gokuraku Yuugi: Game Tengoku is a Miscellaneous game, developed and published by Sofel,which was released in Japan in 1987.","n/a","n/a","n/a","Sofel","Dec 12, 1987 ","http://www.gamefaqs.com/famicomds/578515-gokuraku-yuugi-game-tengoku"
"Golf","UN","Sports,Traditional,Golf,Sim","Nintendo GOLF lets you choose your clubs, change your stance, control your swings - even select the angle of impact! You'll view the hole from both close up and far away, judge the changing conditions of the green, and measure the wind velocity. But watch out! When the wind changes, so does the flight of your ball. With Nintendo's state-of-the-art graphics and realistic game play, you'll really believe you're on the fairways. So play Nintendo GOLF, because there's not a video golf game on par with it anywhere!","n/a","6.7","n/a","Nintendo","Feb 21, 1986 ","http://www.gamefaqs.com/famicomds/922338-golf"
"The Goonies","UN","Action,General","The Goonies is an Action game, developed and published by Konami,which was released in Japan in 1988.","n/a","7.0","n/a","Konami","Apr8, 1988 ","http://www.gamefaqs.com/famicomds/922354-the-goonies"
"Green Beret","UN","Action,Platformer,2D","Out there, deep in hostile territory, your buddies lie captive in an enemy camp. You alone can get them out. Your GREEN BERET marks you out as an operator of great skill, strength and courage. Will that be enough?","4.0","7.5","n/a","Konami","Apr 10, 1987 ","http://www.gamefaqs.com/famicomds/578404-green-beret"
"Gun.Smoke","UN","Action,Shooter,Scrolling","Gun.Smoke by Capcom takes you back to the days of the Gold Rush, to a small, bustling mining town of the Old West. Ruthless gold-stealing bandits are terrorizing the townsfolk and it's up to you to stop them! The thieves are notorious killers, and when they challenge you to a draw, they're playing for keeps! Although your gunslinging prowess is legendary, this may be the toughest High Noon you'll ever face. But you've got to stand your ground - this town ain't big enough for both you and them!","6.0","n/a","n/a","Capcom","Jan 27, 1988 ","http://www.gamefaqs.com/famicomds/919745-gunsmoke"
"Gyruss","UN","Action,Shooter,Static","It's A.D. 2500 and mankind has penetrated the galaxy's fringes, establishing colonies of peace from Mercury to Pluto. Suddenly, the tranquility of the Milky Way erupts into a frothing fury as armadas of alien deathships swarm into our solar system like killer bees preying on an innocent bystander. No one is spared. Even beloved Mother Earth is stung. These vicious cosmic Visigoths are war starved Gyrusians. And, led by the immortal Genghis Khan (whom they recruited from Mongolia centuries ago), they're out to trash civilization. With our galactic fleet flattened, you're the lone space cowboy who escaped the Gyruss shroud of doom. Now you must scorch through the galaxy, freeing planets by zapping endless enemy attacks with Neo-Bomb-Blastic Cannons and Ultra-Lazonic Phasers. So prepare for the fight of your life. And don't flinch, or else the entire universe will get pulverized!","n/a","7.0","n/a","Konami","Nov 18, 1988 ","http://www.gamefaqs.com/famicomds/922352-gyruss"
"Halley Wars","UN","Action,Shooter,Scrolling","Halley Wars is an Action game, developed by ITL and published by Taito Corporation,which was released in Japan in 1989.","n/a","6.0","n/a","ITL","Jan 14, 1989 ","http://www.gamefaqs.com/famicomds/579395-halley-wars"
"Hao-Kun no Fushigi na Tabi","UN","Action,Platformer,2D","Hao-Kun no Fushigi na Tabi is an Action game, developed by Carry Lab. and published by SquareSoft,which was released in Japan in 1987.","6.0","8.0","n/a","Carry Lab.","May 11, 1987 ","http://www.gamefaqs.com/famicomds/578415-hao-kun-no-fushigi-na-tabi"
"Hikari Genji Roller Panic","UN","Adventure,General","Hikari Genji Roller Panic is an Adventure game, developed and published by Pony Canyon,which was released in Japan in 1989.","n/a","n/a","n/a","Pony Canyon","Mar 20, 1989 ","http://www.gamefaqs.com/famicomds/579422-hikari-genji-roller-panic"
"Hikari Shinwa: Palutena no Kagami","UN","Action,Platformer,2D","Hikari Shinwa: Palutena no Kagami is an Action game, developed by TOSE and published by Nintendo,which was released in Japan in 1986.","7.0","7.8","n/a","TOSE","Dec 19, 1986 ","http://www.gamefaqs.com/famicomds/578362-hikari-shinwa-palutena-no-kagami"
"Hong Kong","UN","Miscellaneous,Puzzle,General","Hong Kong is a Miscellaneous game, published by Tokuma Shoten,which was released in Japan in 1990.","n/a","n/a","n/a","Tokuma Shoten","Mar 23, 1990 ","http://www.gamefaqs.com/famicomds/579583-hong-kong"
"Hong Kong - Famimaga Disk Vol. 1","JP","Miscellaneous,Puzzle,General","Hong Kong is a Miscellaneous game, published by Tokuma Shoten,which was released in Japan in 1990.","n/a","n/a","n/a","Tokuma Shoten","Mar 23, 1990 ","http://www.gamefaqs.com/famicomds/579583-hong-kong"
"Hong Kong","UN","Miscellaneous,Puzzle,General","Hong Kong is a Miscellaneous game, published by Tokuma Shoten,which was released in Japan in 1990.","n/a","n/a","n/a","Tokuma Shoten","Mar 23, 1990 ","http://www.gamefaqs.com/famicomds/579583-hong-kong"
"Hong Kong - Famimaga Disk Vol. 1","JP","Miscellaneous,Puzzle,General","Hong Kong is a Miscellaneous game, published by Tokuma Shoten,which was released in Japan in 1990.","n/a","n/a","n/a","Tokuma Shoten","Mar 23, 1990 ","http://www.gamefaqs.com/famicomds/579583-hong-kong"
"I am a Teacher: Super Mario no Sweater","UN","Miscellaneous,Edutainment","I am a Teacher: Super Mario no Sweater is a Miscellaneous game, published by Royal Kougyou,which was released in Japan in 1986.","n/a","10.0","n/a","Royal Kougyou","Aug 27, 1986 ","http://www.gamefaqs.com/famicomds/578310-i-am-a-teacher-super-mario-no-sweater"
"I am a Teacher: Teami no Kiso","UN","Miscellaneous,Edutainment","I am a Teacher: Teami no Kiso is a Miscellaneous game, published by Royal Kougyou,which was released in Japan in 1986.","n/a","n/a","n/a","Royal Kougyou","Sep 26, 1986 ","http://www.gamefaqs.com/famicomds/578317-i-am-a-teacher-teami-no-kiso"
"Ice Climber","UN","Action,Platformer,2D","If you can break through 8 levels of treacherous arctic ice, you'll reach the top of the mountain! But watch out. The Nitpickers, Condors, and Ploar Bears don't want you up there. And they've got a bag of tricks that will test every ounce of your strength and courage. Are you going to let them stop you? No way! There are 32 mountains to choose from and endless thrills as you fight these arctic creatures alone or with a friend, and ascend to the top of the mountain in ICE CLIMBER!","n/a","6.0","n/a","Nintendo","Nov 18, 1988 ","http://www.gamefaqs.com/famicomds/922351-ice-climber"
"Ice Hockey","UN","Sports,Traditional,Ice Hockey,Arcade","It's fast skatin', hip checkin', high scoring action. Lead your team into center ice, over the opponent's blue line. Pass over to the point and set up for the tip in - Score! Choose a country for you and your opponent, select a level of play and face off at center ice to become the top goal scorer in Nintendo's Ice Hockey! Get charged with a penalty and test your defense. Or attack on a power play and use your puck handling skills to catch your opponents off guard. Either way, you can become a superstar in the league of Nintendo Ice Hockey!","n/a","7.0","n/a","Pax Softonica","Jan 21, 1988 ","http://www.gamefaqs.com/famicomds/922350-ice-hockey"
"Nakayama Miho no Tokimeki High School","UN","Adventure,First-Person,Modern","Nakayama Miho no Tokimeki High School is an Adventure game, developed and published by Nintendo,which was released in Japan in 1987.","n/a","8.0","n/a","Nintendo","Dec1, 1987 ","http://www.gamefaqs.com/famicomds/578510-nakayama-miho-no-tokimeki-high-school"
"Idol Hotline: Nakayama Miho no Tokimeki High School","JP","Adventure,First-Person,Modern","Nakayama Miho no Tokimeki High School is an Adventure game, developed and published by Nintendo,which was released in Japan in 1987.","n/a","8.0","n/a","Nintendo","Dec1, 1987 ","http://www.gamefaqs.com/famicomds/578510-nakayama-miho-no-tokimeki-high-school"
"Igo: Kuroban Taikyoku","UN","Miscellaneous,Board Games","Igo: Kuroban Taikyoku is a Miscellaneous game, published by Bullet Proof Software,which was released in Japan in 1987.","n/a","n/a","n/a","Bullet Proof Software","Apr 14, 1987 ","http://www.gamefaqs.com/famicomds/578294-igo-kuroban-taikyoku"
"Igo","JP","Miscellaneous,Board Games","Igo: Kuroban Taikyoku is a Miscellaneous game, published by Bullet Proof Software,which was released in Japan in 1987.","n/a","n/a","n/a","Bullet Proof Software","Apr 14, 1987 ","http://www.gamefaqs.com/famicomds/578294-igo-kuroban-taikyoku"
"Igo: Kuroban Taikyoku","UN","Miscellaneous,Board Games","Igo: Kuroban Taikyoku is a Miscellaneous game, published by Bullet Proof Software,which was released in Japan in 1987.","n/a","n/a","n/a","Bullet Proof Software","Apr 14, 1987 ","http://www.gamefaqs.com/famicomds/578294-igo-kuroban-taikyoku"
"Igo","JP","Miscellaneous,Board Games","Igo: Kuroban Taikyoku is a Miscellaneous game, published by Bullet Proof Software,which was released in Japan in 1987.","n/a","n/a","n/a","Bullet Proof Software","Apr 14, 1987 ","http://www.gamefaqs.com/famicomds/578294-igo-kuroban-taikyoku"
"Ishido","UN","Miscellaneous,Board Games","Ishido is a Miscellaneous game, developed and published by Hiro,which was released in Japan in 1990.","n/a","n/a","n/a","Hiro","Dec7, 1990 ","http://www.gamefaqs.com/famicomds/579890-ishido"
"Jaaman Tanteidan: Matonarikumi","UN","Adventure,General","Jaaman Tanteidan: Matonarikumi is an Adventure game, developed and published by Bandai,which was released in Japan in 1988.","n/a","n/a","n/a","Bandai","Nov 29, 1988 ","http://www.gamefaqs.com/famicomds/579357-jaaman-tanteidan-matonarikumi"
"Jaaman Tanteidan Marine Kumi: Maruhi Jigoma Sousa File","JP","Adventure,General","Jaaman Tanteidan: Matonarikumi is an Adventure game, developed and published by Bandai,which was released in Japan in 1988.","n/a","n/a","n/a","Bandai","Nov 29, 1988 ","http://www.gamefaqs.com/famicomds/579357-jaaman-tanteidan-matonarikumi"
"Jaaman Tanteidan: Matonarikumi","UN","Adventure,General","Jaaman Tanteidan: Matonarikumi is an Adventure game, developed and published by Bandai,which was released in Japan in 1988.","n/a","n/a","n/a","Bandai","Nov 29, 1988 ","http://www.gamefaqs.com/famicomds/579357-jaaman-tanteidan-matonarikumi"
"Jaaman Tanteidan Marine Kumi: Maruhi Jigoma Sousa File","JP","Adventure,General","Jaaman Tanteidan: Matonarikumi is an Adventure game, developed and published by Bandai,which was released in Japan in 1988.","n/a","n/a","n/a","Bandai","Nov 29, 1988 ","http://www.gamefaqs.com/famicomds/579357-jaaman-tanteidan-matonarikumi"
"Janken Disk Shiro","UN","Miscellaneous,Puzzle,General","Janken Disk Shiro is a Miscellaneous game, published by Tokuma Shoten,which was released in Japan in 1992.","n/a","n/a","n/a","Tokuma Shoten","Dec 22, 1992 ","http://www.gamefaqs.com/famicomds/570529-janken-disk-shiro"
"Janken Disk Shiro - Famimaga Disk Vol. 6","JP","Miscellaneous,Puzzle,General","Janken Disk Shiro is a Miscellaneous game, published by Tokuma Shoten,which was released in Japan in 1992.","n/a","n/a","n/a","Tokuma Shoten","Dec 22, 1992 ","http://www.gamefaqs.com/famicomds/570529-janken-disk-shiro"
"Janken Disk Shiro","UN","Miscellaneous,Puzzle,General","Janken Disk Shiro is a Miscellaneous game, published by Tokuma Shoten,which was released in Japan in 1992.","n/a","n/a","n/a","Tokuma Shoten","Dec 22, 1992 ","http://www.gamefaqs.com/famicomds/570529-janken-disk-shiro"
"Janken Disk Shiro - Famimaga Disk Vol. 6","JP","Miscellaneous,Puzzle,General","Janken Disk Shiro is a Miscellaneous game, published by Tokuma Shoten,which was released in Japan in 1992.","n/a","n/a","n/a","Tokuma Shoten","Dec 22, 1992 ","http://www.gamefaqs.com/famicomds/570529-janken-disk-shiro"
"Jikai Shounen Mettomag","UN","Miscellaneous,Puzzle,General","Jikai Shounen Mettomag is a Miscellaneous game, developed by Thinking Rabbit and published by SquareSoft,which was released in Japan in 1987.","n/a","3.5","n/a","Thinking Rabbit","Jul3, 1987 ","http://www.gamefaqs.com/famicomds/578448-jikai-shounen-mettomag"
"Jirai-Kun","UN","Miscellaneous,Puzzle,General","Jirai-Kun is a Miscellaneous game, developed and published by Jaleco Entertainment,which was released in Japan in 1988.","n/a","7.0","n/a","Jaleco Entertainment","Jul 29, 1988 ","http://www.gamefaqs.com/famicomds/578620-jirai-kun"
"Radical Bomber!! Jirai-Kun","JP","Miscellaneous,Puzzle,General","Jirai-Kun is a Miscellaneous game, developed and published by Jaleco Entertainment,which was released in Japan in 1988.","n/a","7.0","n/a","Jaleco Entertainment","Jul 29, 1988 ","http://www.gamefaqs.com/famicomds/578620-jirai-kun"
"Kaettekita Mario Bros.","UN","Action,Platformer,2D","Kaettekita Mario Bros. is an Action game, developed and published by Nintendo,which was released in Japan in 1988.","n/a","9.2","n/a","Nintendo","Nov 30, 1988 ","http://www.gamefaqs.com/famicomds/579358-kaettekita-mario-bros"
"Kalin no Tsurugi","UN","Role-Playing,General","Kalin no Tsurugi is a Role-Playing game, developed by XTALSOFT and published by SquareSoft,which was released in Japan in 1987.","n/a","7.7","n/a","XTALSOFT","Oct2, 1987 ","http://www.gamefaqs.com/famicomds/578492-kalin-no-tsurugi"
"Kamen Rider Black","UN","Action,Platformer,2D","Kamen Rider Black is an Action game, developed by Human Entertainment and published by Bandai,which was released in Japan in 1988.","2.0","8.3","n/a","Human Entertainment","Apr 15, 1988 ","http://www.gamefaqs.com/famicomds/578580-kamen-rider-black"
"Kamen Rider Black: Taiketsu Shadow Moon","JP","Action,Platformer,2D","Kamen Rider Black is an Action game, developed by Human Entertainment and published by Bandai,which was released in Japan in 1988.","2.0","8.3","n/a","Human Entertainment","Apr 15, 1988 ","http://www.gamefaqs.com/famicomds/578580-kamen-rider-black"
"Kamen Rider Black","UN","Action,Platformer,2D","Kamen Rider Black is an Action game, developed by Human Entertainment and published by Bandai,which was released in Japan in 1988.","2.0","8.3","n/a","Human Entertainment","Apr 15, 1988 ","http://www.gamefaqs.com/famicomds/578580-kamen-rider-black"
"Kamen Rider Black: Taiketsu Shadow Moon","JP","Action,Platformer,2D","Kamen Rider Black is an Action game, developed by Human Entertainment and published by Bandai,which was released in Japan in 1988.","2.0","8.3","n/a","Human Entertainment","Apr 15, 1988 ","http://www.gamefaqs.com/famicomds/578580-kamen-rider-black"
"Karate Champ","UN","Action,Fighting,2D","Your karate championship is at stake. Can you master all the lunges, kicks, spins, somersaults, foot sweeps, reverse punches, and defensive blocks needed to retain your title? Move fast and play smart or you'll get flattened before you can grunt! Compete against a friend or challenge the computer. Nine different picturesque settings (plus three challenging bonus screens) provide the backdrops for your matches. Hiiiiieeeeeooooo!","n/a","n/a","n/a","SAS Sakata","Jul 22, 1988 ","http://www.gamefaqs.com/famicomds/938455-karate-champ"
"Kattobi! Douji","UN","Sports,Traditional,Baseball,Sim","Kattobi! Douji is a Sports game, developed and published by Pack-In-Video,which was released in Japan in 1989.","n/a","7.0","n/a","Pack-In-Video","Oct 20, 1989 ","http://www.gamefaqs.com/famicomds/579493-kattobi-douji"
"Kick and Run","UN","Sports,Traditional,Soccer,Sim","Kick and Run is a Sports game, developed and published by Taito Corporation,which was released in Japan in 1988.","n/a","6.0","n/a","Taito Corporation","Sep 13, 1988 ","http://www.gamefaqs.com/famicomds/579331-kick-and-run"
"Kick Challenger: Air Foot","UN","Action,General","Kick Challenger: Air Foot is an Action game, developed and published by Vap,which was released in Japan in 1987.","n/a","n/a","n/a","Vap","Nov 20, 1987 ","http://www.gamefaqs.com/famicomds/578508-kick-challenger-air-foot"
"Kick Challenger: Air Foot: Yasai no Kuni no Ashi Senshi","JP","Action,General","Kick Challenger: Air Foot is an Action game, developed and published by Vap,which was released in Japan in 1987.","n/a","n/a","n/a","Vap","Nov 20, 1987 ","http://www.gamefaqs.com/famicomds/578508-kick-challenger-air-foot"
"Kick Challenger: Air Foot","UN","Action,General","Kick Challenger: Air Foot is an Action game, developed and published by Vap,which was released in Japan in 1987.","n/a","n/a","n/a","Vap","Nov 20, 1987 ","http://www.gamefaqs.com/famicomds/578508-kick-challenger-air-foot"
"Kick Challenger: Air Foot: Yasai no Kuni no Ashi Senshi","JP","Action,General","Kick Challenger: Air Foot is an Action game, developed and published by Vap,which was released in Japan in 1987.","n/a","n/a","n/a","Vap","Nov 20, 1987 ","http://www.gamefaqs.com/famicomds/578508-kick-challenger-air-foot"
"Kidou Keisatsu Patlabor","UN","Action,Platformer,2D","Kidou Keisatsu Patlabor is an Action game, developed by Advance Communication Company and published by Bandai,which was released in Japan in 1989.","n/a","5.0","n/a","Advance Communication Company","Jan 24, 1989 ","http://www.gamefaqs.com/famicomds/579396-kidou-keisatsu-patlabor"
"Kidou Keisatsu Patlabor: Dai 2 Shoutai Shutsudou Seyo!","JP","Action,Platformer,2D","Kidou Keisatsu Patlabor is an Action game, developed by Advance Communication Company and published by Bandai,which was released in Japan in 1989.","n/a","5.0","n/a","Advance Communication Company","Jan 24, 1989 ","http://www.gamefaqs.com/famicomds/579396-kidou-keisatsu-patlabor"
"Kidou Keisatsu Patlabor","UN","Action,Platformer,2D","Kidou Keisatsu Patlabor is an Action game, developed by Advance Communication Company and published by Bandai,which was released in Japan in 1989.","n/a","5.0","n/a","Advance Communication Company","Jan 24, 1989 ","http://www.gamefaqs.com/famicomds/579396-kidou-keisatsu-patlabor"
"Kidou Keisatsu Patlabor: Dai 2 Shoutai Shutsudou Seyo!","JP","Action,Platformer,2D","Kidou Keisatsu Patlabor is an Action game, developed by Advance Communication Company and published by Bandai,which was released in Japan in 1989.","n/a","5.0","n/a","Advance Communication Company","Jan 24, 1989 ","http://www.gamefaqs.com/famicomds/579396-kidou-keisatsu-patlabor"
"Kieta Princess","UN","Adventure,General","Kieta Princess is an Adventure game, developed by Infinity and published by Imagineer,which was released in Japan in 1986.","n/a","7.0","n/a","Infinity","Dec 20, 1986 ","http://www.gamefaqs.com/famicomds/578363-kieta-princess"
"Kiki Kaikai: Dotou Hen","UN","Action,General","Kiki Kaikai: Dotou Hen is an Action game, developed by Bits Laboratory and published by Taito Corporation,which was released in Japan in 1987.","n/a","2.0","n/a","Bits Laboratory","Aug 28, 1987 ","http://www.gamefaqs.com/famicomds/578469-kiki-kaikai-dotou-hen"
"Kinnikuman: Kinnikusei Oui Soudatsusen","UN","Action,General","Kinnikuman: Kinnikusei Oui Soudatsusen is an Action game, developed by Human Entertainment and published by Bandai,which was released in Japan in 1987.","n/a","n/a","n/a","Human Entertainment","May1, 1987 ","http://www.gamefaqs.com/famicomds/578414-kinnikuman-kinnikusei-oui-soudatsusen"
"Knight Lore: Majou no Ookami Otoko","UN","Action,General","Knight Lore: Majou no Ookami Otoko is an Action game, developed by TOSE and published by Jaleco Entertainment,which was released in Japan in 1986.","n/a","6.0","n/a","TOSE","Dec 19, 1986 ","http://www.gamefaqs.com/famicomds/578361-knight-lore-majou-no-ookami-otoko"
"Knight Move","UN","Miscellaneous,Puzzle,General","Knight Move is a Miscellaneous game, developed by JV Dialog and published by Nintendo,which was released in Japan in 1990.","n/a","7.0","n/a","JV Dialog","Jun5, 1990 ","http://www.gamefaqs.com/famicomds/579628-knight-move"
"Konamic Ice Hockey","UN","Sports,Traditional,Ice Hockey,Sim","Konamic Ice Hockey is a Sports game, developed and published by Konami,which was released in Japan in 1988.","n/a","5.0","n/a","Konami","Jul 22, 1988 ","http://www.gamefaqs.com/famicomds/578619-konamic-ice-hockey"
"Konamic Tennis","UN","Sports,Traditional,Tennis","Konamic Tennis is a Sports game, developed and published by Konami,which was released in Japan in 1988.","n/a","8.0","n/a","Konami","Aug 19, 1988 ","http://www.gamefaqs.com/famicomds/578639-konamic-tennis"
"Koneko Monogatari","UN","Action,Platformer,2D","Koneko Monogatari is an Action game, developed by Marionette and published by Pony Canyon,which was released in Japan in 1986.","n/a","5.0","n/a","Marionette","Sep 19, 1986 ","http://www.gamefaqs.com/famicomds/578316-koneko-monogatari"
"Koneko Monogatari: The Adventures of Chatran","JP","Action,Platformer,2D","Koneko Monogatari is an Action game, developed by Marionette and published by Pony Canyon,which was released in Japan in 1986.","n/a","5.0","n/a","Marionette","Sep 19, 1986 ","http://www.gamefaqs.com/famicomds/578316-koneko-monogatari"
"Koneko Monogatari","UN","Action,Platformer,2D","Koneko Monogatari is an Action game, developed by Marionette and published by Pony Canyon,which was released in Japan in 1986.","n/a","5.0","n/a","Marionette","Sep 19, 1986 ","http://www.gamefaqs.com/famicomds/578316-koneko-monogatari"
"Koneko Monogatari: The Adventures of Chatran","JP","Action,Platformer,2D","Koneko Monogatari is an Action game, developed by Marionette and published by Pony Canyon,which was released in Japan in 1986.","n/a","5.0","n/a","Marionette","Sep 19, 1986 ","http://www.gamefaqs.com/famicomds/578316-koneko-monogatari"
"The Legend of Zelda 2: Link no Bouken","UN","Role-Playing,Action RPG","There are six palaces hidden in Hyrule. Link must gain experience by fighting Ganon's underlings, and get information while visiting towns here and there. And, after defeating the guardians at the palaces of Death Valley, he must obtain the Triforce of Courage -- That is Link's mission.","n/a","8.2","n/a","Nintendo","Jan 14, 1987 ","http://www.gamefaqs.com/famicomds/578370-the-legend-of-zelda-2-link-no-bouken"
"Lutter","UN","Role-Playing,General","Lutter is a Role-Playing game, developed and published by Athena,which was released in Japan in 1989.","7.0","n/a","n/a","Athena","Nov 24, 1989 ","http://www.gamefaqs.com/famicomds/579504-lutter"
"Magma Project Hacker","UN","Role-Playing,General","Magma Project Hacker is a Role-Playing game, developed by Bits Laboratory and published by Tokuma Shoten,which was released in Japan in 1989.","n/a","10.0","n/a","Bits Laboratory","Aug 10, 1989 ","http://www.gamefaqs.com/famicomds/579471-magma-project-hacker"
"Mahjong","UN","Miscellaneous,Board Games","You can enjoy the thrill and excitement of playing Mahjong yourself against the computer.There are 3 levels - Beginner, Intermediate and Expert - which are selected according to the skill of the player. It's great for practicing! Especailly, in the higher skill level, there are time limits (approximately 12 seconds) which enables you to enjoy speedy game plays. Also, it automatically calculates and displays the score on the screen.","n/a","6.5","n/a","Nintendo","Feb 21, 1986 ","http://www.gamefaqs.com/famicomds/578281-mahjong"
"Mahjong Kazoku","UN","Miscellaneous,Board Games","Mahjong Kazoku is a Miscellaneous game, developed and published by Irem,which was released in Japan in 1987.","n/a","n/a","n/a","Irem","Aug4, 1987 ","http://www.gamefaqs.com/famicomds/578466-mahjong-kazoku"
"Marchen Veil","UN","Role-Playing,Action RPG","Marchen Veil is a Role-Playing game, developed by System Sacom and published by SunSoft,which was released in Japan in 1987.","n/a","7.0","n/a","System Sacom","Mar3, 1987 ","http://www.gamefaqs.com/famicomds/578388-marchen-veil"
"Matou no Houkai","UN","Action,General","Matou no Houkai is an Action game, developed by Carry Lab. and published by Pony Canyon,which was released in Japan in 1988.","n/a","5.0","n/a","Carry Lab.","Sep2, 1988 ","http://www.gamefaqs.com/famicomds/579329-matou-no-houkai"
"Meikyuu Jiin Dababa","UN","Action,General","Meikyuu Jiin Dababa is an Action game, developed and published by Konami,which was released in Japan in 1987.","n/a","7.0","n/a","Konami","May 29, 1987 ","http://www.gamefaqs.com/famicomds/578420-meikyuu-jiin-dababa"
"Metroid","UN","Action Adventure,Sci-Fi","It's you against the evil Mother Brain in the thrilling battle of Metroid! You're inside the fortress planet Zebes. The planet of endless secret passageways where the Metroid are multiplying. Left alone the Metroid are harmless. But in the wrong hands they could destroy the galaxy. It's up to you to prevent the Mother Brain that controls Zebes from using the Metroid for evil purposes. But that won't be easy. You'll have to use your spacesuit to absorb valuable energy for your search to gain the use of power items like the Ice Beam, Wave Beam, High Jump Boots and Varia. If you survive, it will be you and your acquired powers against the Mother Brain.","n/a","7.6","n/a","Nintendo","Aug6, 1986 ","http://www.gamefaqs.com/famicomds/919836-metroid"
"Michael English Daibouken","UN","Miscellaneous,General","Michael English Daibouken is a Miscellaneous game, developed and published by Scorpion Soft,which was released in Japan in 1987.","n/a","n/a","n/a","Scorpion Soft","Jun 19, 1987 ","http://www.gamefaqs.com/famicomds/578435-michael-english-daibouken"
"Moero TwinBee: Cinnamon Hakushi o Sukue!","UN","Action,Shooter,Scrolling","Moero TwinBee: Cinnamon Hakushi o Sukue! is an Action game, developed and published by Konami,which was released in Japan in 1986.","n/a","8.0","n/a","Konami","Nov 21, 1986 ","http://www.gamefaqs.com/famicomds/578333-moero-twinbee-cinnamon-hakushi-o-sukue"
"Monitor Puzzle Kineko: Kinetic Connection","UN","Miscellaneous,Puzzle,General","Monitor Puzzle Kineko: Kinetic Connection is a Miscellaneous game, developed by Tamtex and published by Irem,which was released in Japan in 1986.","n/a","6.0","n/a","Tamtex","Nov 28, 1986 ","http://www.gamefaqs.com/famicomds/578334-monitor-puzzle-kineko-kinetic-connection"
"Monitor Puzzle Kineko: Kinetic Connection Vol. II","UN","Miscellaneous,Puzzle,General","Monitor Puzzle Kineko: Kinetic Connection Vol. II is a Miscellaneous game, developed by Tamtex and published by Irem,which was released in Japan in 1987.","n/a","n/a","n/a","Tamtex","May1, 1987 ","http://www.gamefaqs.com/famicomds/578387-monitor-puzzle-kineko-kinetic-connection-vol-ii"
